10-12373T,8/20,2341 hrs,8/20 2341 hrs,8/20,2341 hrs Impound,,Cleared by Arrest
"",,,,,,Way,
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12376T,8/20,2357 hrs,8/20 2357 hrs,8/20,2357 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Saturday, August 21, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-12381T,8/21,0034 hrs,8/21 0034 hrs,8/21,0034 hrs Under 21 with Alcohol in the Body,Agave Hall,Cleared by Arrest
10-12382T,8/21,0048 hrs,8/21 0048 hrs,8/21,1401 hrs Under 21 with Alcohol in the Body,Manzanita,Cleared by Arrest
10-12383T,8/21,0051 hrs,8/21 0051 hrs,8/21,0051 hrs Under 21 with Alcohol in the Body,600 BLK of Alpha Dr,Cleared by Arrest
"",,,,,,Vista del Sol Parking,
10-12384T,8/21,0054 hrs,8/21 0054 hrs,8/21,0054 hrs Under 21 in Possession of Alcohol,,Cleared by Arrest
"",,,,,,Structure,
10-12391T,8/21,0136 hrs,8/21 0136 hrs,8/21,0136 hrs Under 21 with Alcohol in the Body,900 Blk E University,Cleared by Arrest
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12393T,8/21,0151 hrs,8/21 0151 hrs,8/21,0151 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12399T,8/21,0232 hrs,8/21 0232 hrs,8/21,0354 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
10-12402T,8/21,0236 hrs,8/21 0236 hrs,8/21,0243 hrs Driving Under the Influence,S Rural Rd / E Terrace Ave,Cleared by Arrest
